,Recall@5,Recall@10,Recall@20,NDCG@5,NDCG@10,NDCG@20,n_eval
E2 pure-content,0.39066457249435554,0.47535093746932366,0.5962795720035339,0.3168480751092786,0.34415362516753856,0.37450036643532025,101870.0
E1 pure-collab,0.42901737508589377,0.5164130754883676,0.6320506527927751,0.364253006318897,0.392340440954139,0.42148576513767544,101870.0
E3 hybrid(a=.7),0.40990478060272895,0.4962403062727005,0.6175615981152449,0.34100294728729436,0.36878300667838715,0.39926760712250364,101870.0
