seed,config,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,n_eval
42,E1 collab (floor),0.1200361971681039,0.08947582608367384,0.16858298733099117,0.10503958088436989,0.2449696582561482,0.12410551685642972,18786
42,E2 content (full),0.3737357606728415,0.30037690383921234,0.45922495475353986,0.32784598559729683,0.5804854679016289,0.3582399482092299,18786
42,E2 -u_LLM,0.3717662088789524,0.2993134081003538,0.45826679442137763,0.3271184555921844,0.5827211753433408,0.3583310648162291,18786
42,E2 -visual,0.3765037794101991,0.3126235820832144,0.4585329500692005,0.3388950589248513,0.5805386990311935,0.3695486523458578,18786
42,E2 -u_LLM -visual,0.3754923879484723,0.30764641712927226,0.4576280208666028,0.33402203089556565,0.5784094538486106,0.36433862820567947,18786
42,E4 adaptive (ref),0.36958373256680505,0.29897643110588135,0.4529436814649207,0.3259157443105509,0.5684552326200362,0.3548228268373994,18786
43,E1 collab (floor),0.10578327329373965,0.07798741046065116,0.15538895920553014,0.09391118733888759,0.23269399279524877,0.11327848427319728,20542
43,E2 content (full),0.3944114497127836,0.32116547337028445,0.47770421575309124,0.34796026983082534,0.5935157238827767,0.37709750793703734,20542
43,E2 -u_LLM,0.3919287313796125,0.3212053084844154,0.47702268523026,0.3486659365393619,0.5913250900593905,0.37738007626693026,20542
43,E2 -visual,0.4006912666731574,0.33571299393482523,0.47960276506669264,0.36117109835243627,0.5917632168240677,0.3893096330871473,20542
43,E2 -u_LLM -visual,0.4001557784052186,0.3383074883930147,0.48111186836724756,0.3643306067534452,0.5904001557784052,0.39178039398659303,20542
43,E4 adaptive (ref),0.3823386233083439,0.30402951007704754,0.46202901372797195,0.32966777667173797,0.5738973809755623,0.35769908239210985,20542
44,E1 collab (floor),0.11632472759399234,0.08509225557084597,0.16815549229410032,0.10176028049650682,0.25085893786198094,0.1224808902457432,20374
44,E2 content (full),0.4291253558456857,0.36527995630027477,0.517620496711495,0.39374627991588024,0.6356631000294493,0.42353304513141304,20374
44,E2 -u_LLM,0.43324825758319424,0.3663629006580024,0.5165897712771179,0.39318896941101644,0.6326200058898597,0.4224490143145043,20374
44,E2 -visual,0.43884362422695594,0.37595573926800313,0.5189457151271228,0.4017624153738794,0.6352704427211151,0.4310363747905498,20374
44,E2 -u_LLM -visual,0.44129773240404435,0.3817506022188494,0.522086973593796,0.4077917461087892,0.6384117011877883,0.43709682811972134,20374
44,E4 adaptive (ref),0.4360459409050751,0.3816526164486491,0.5102090900166879,0.4054469352199302,0.6240306272700501,0.43394438440769434,20374
45,E1 collab (floor),0.12949605224680769,0.09867517769965314,0.18656789160736914,0.1169677117145004,0.2742957403255678,0.13888565458590452,20518
45,E2 content (full),0.3739155863144556,0.30218674417266006,0.4652500243688469,0.33164772197663944,0.591139487279462,0.36319023422075797,20518
45,E2 -u_LLM,0.3729895701335413,0.3000671532883237,0.46310556584462426,0.32919072892956786,0.589384930305098,0.3608196203647405,20518
45,E2 -visual,0.3854664197290184,0.3145948824649923,0.47114728531045913,0.3421512506375801,0.5888975533677746,0.37166455656514297,20518
45,E2 -u_LLM -visual,0.3856126328102154,0.3160171167168075,0.47153718686031776,0.34365833309490174,0.586899307924749,0.3725944138232487,20518
45,E4 adaptive (ref),0.3722585047275563,0.31318268016017764,0.45072619163661176,0.33850256276924967,0.5785164246027878,0.37045416402921855,20518
46,E1 collab (floor),0.13897618920790497,0.1100237766628004,0.18622489745911683,0.12522578719554217,0.27086773557769134,0.14638456681084494,18773
46,E2 content (full),0.41250732434879883,0.3430951901589421,0.4962978746071486,0.3701044979206668,0.6145528152133383,0.39990900653312317,18773
46,E2 -u_LLM,0.4160762797634901,0.34857468434639366,0.49821552229265437,0.3750066856109498,0.6149789591434507,0.4043781431800046,18773
46,E2 -visual,0.4217226868374794,0.3623435413834499,0.5027433015500985,0.38845466023612574,0.6192403984445747,0.41782865703950767,18773
46,E2 -u_LLM -visual,0.42055079102967025,0.36245065801282683,0.5026900335588345,0.3888980938194497,0.6198796143397433,0.4184804753474628,18773
46,E4 adaptive (ref),0.4266233420337719,0.37282145243749004,0.4964576785809407,0.39530514271691586,0.6113034677462313,0.4240875844364008,18773
