,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,n_seeds
E0 popularity,0.4046 ± 0.0004,0.3511 ± 0.0002,0.4778 ± 0.0002,0.3746 ± 0.0001,0.5951 ± 0.0005,0.4040 ± 0.0001,5
E1 pure-collab,0.4358 ± 0.0018,0.3692 ± 0.0026,0.5210 ± 0.0017,0.3966 ± 0.0025,0.6357 ± 0.0008,0.4254 ± 0.0023,5
E2 pure-content,0.3903 ± 0.0020,0.3175 ± 0.0039,0.4755 ± 0.0013,0.3449 ± 0.0035,0.5962 ± 0.0007,0.3753 ± 0.0036,5
E3 hybrid(a=.7),0.4108 ± 0.0014,0.3408 ± 0.0024,0.4968 ± 0.0019,0.3685 ± 0.0020,0.6179 ± 0.0014,0.3989 ± 0.0022,5
E4 hybrid-adaptA,0.4270 ± 0.0017,0.3616 ± 0.0022,0.5092 ± 0.0019,0.3881 ± 0.0021,0.6223 ± 0.0015,0.4166 ± 0.0021,5
E6 hybrid-novis,0.4173 ± 0.0026,0.3511 ± 0.0048,0.5001 ± 0.0009,0.3777 ± 0.0042,0.6192 ± 0.0013,0.4076 ± 0.0042,5
