,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,n_eval
E0 popularity,0.404466476882301,0.35085225153246435,0.4777559634828703,0.3743989342797772,0.5947678413664474,0.4037180928060328,101870.0
E4 hybrid-adaptA,0.42751546088151565,0.36282968780130725,0.5075684696181407,0.38856299812019446,0.623529989201924,0.4176962880017939,101870.0
E6 hybrid-novis,0.4139982330421125,0.34616485923543794,0.4977127711789536,0.37308650042035807,0.6167370177677433,0.40296444702592255,101870.0
